CE ID,customer Name,site Nbr,site Name,FoodServiceVendor
00085,NORTH EAST ISD,0104,DELLVIEW EL,
00085,NORTH EAST ISD,0114,WALZEM EL,
00085,NORTH EAST ISD,0141,STUEBING RANCH ELEMENTARY,
00104,HOOKS ISD,0041,HOOKS J H,
00104,HOOKS ISD,0102,HOOKS EL,
00112,ALVIN ISD,0001,ALVIN HIGH SCHOOL,
00112,ALVIN ISD,0005,ASSETS,
00112,ALVIN ISD,0041,ALVIN J H,
00112,ALVIN ISD,0042,RODEO PALMS J H,
00112,ALVIN ISD,0043,G W HARBY J H,
00112,ALVIN ISD,0046,FAIRVIEW JUNIOR HIGH,
00112,ALVIN ISD,0101,ALVIN ELEMENTARY,
00112,ALVIN ISD,0102,ALVIN PRI,
00112,ALVIN ISD,0103,MARK TWAIN PRIMARY,
00112,ALVIN ISD,0104,LONGFELLOW ELEMENTARY,
00112,ALVIN ISD,0105,E C MASON ELEMENTARY,
00112,ALVIN ISD,0106,R L STEVENSON PRIMARY,
00112,ALVIN ISD,0107,WALT DISNEY ELEMENTARY,
00112,ALVIN ISD,0108,MELBA PASSMORE ELEMENTARY,
00112,ALVIN ISD,0109,HOOD-CASE ELEMENTARY,
00112,ALVIN ISD,0110,DON JETER ELEMENTARY,
00112,ALVIN ISD,0113,SAVANNAH LAKES ELEMENTARY,
00112,ALVIN ISD,1019,Alvin Junior High,
00112,ALVIN ISD,1020,Manvel Junior High,
00112,ALVIN ISD,1021,Harby Junior High,
00112,ALVIN ISD,1022,Fairview Junior High,
00112,ALVIN ISD,1023,Alvin El.,
00112,ALVIN ISD,1024,Longfellow El.,
00112,ALVIN ISD,1025,E.C. Mason El.,
00112,ALVIN ISD,1026,R.L. Stevenson Primary,
00112,ALVIN ISD,1027,Walt Disney El.,
00112,ALVIN ISD,1028,Passmore El.,
00112,ALVIN ISD,1029,Don Jeter El.,
00112,ALVIN ISD,1030,Savannah Lake El.,
00112,ALVIN ISD,1031,Alvin Primary,
00112,ALVIN ISD,1032,Mark Twain El.,
00112,ALVIN ISD,1033,Hood Case El.,
00115,BRAZOSPORT ISD,0001,BRAZOSPORT H S,
00115,BRAZOSPORT ISD,0002,BRAZOSWOOD H S,
00115,BRAZOSPORT ISD,0041,CLUTE INT,
00115,BRAZOSPORT ISD,0042,FREEPORT INT,
00115,BRAZOSPORT ISD,0101,S F AUSTIN EL,
00115,BRAZOSPORT ISD,0104,O A FLEMING EL,
00115,BRAZOSPORT ISD,0106,JANE LONG EL,
00115,BRAZOSPORT ISD,0108,T W OGG EL,
00115,BRAZOSPORT ISD,0109,O M ROBERTS EL,
00115,BRAZOSPORT ISD,0110,VELASCO EL,
00115,BRAZOSPORT ISD,0113,GLADYS POLK EL,
00115,BRAZOSPORT ISD,0115,RASCO MIDDLE,
00115,BRAZOSPORT ISD,0116,O'HARA LANIER MIDDLE,
00142,LOCKHART ISD,0001,LOCKHART H S,
00142,LOCKHART ISD,0110,Bluebonnet Elementary,
00142,LOCKHART ISD,0111,Plum Creek Elem,
00142,LOCKHART ISD,0112,Clear Fork Elem,
00142,LOCKHART ISD,0113,Carver Kindergarten,
00142,LOCKHART ISD,0114,Lockhart Jr. High,
00142,LOCKHART ISD,0115,Navarro Elementary,
00151,BROWNSVILLE ISD,0001,HANNA H S,
00151,BROWNSVILLE ISD,0002,PORTER H S,
00151,BROWNSVILLE ISD,0003,PACE H S,
00151,BROWNSVILLE ISD,0004,RIVERA H S,
00151,BROWNSVILLE ISD,0007,LOPEZ H S,
00151,BROWNSVILLE ISD,0008,BROWNSVILLE EARLY COLLEGE HIGH SCHOOL,
00151,BROWNSVILLE ISD,0009,VETERNS MEMORIAL H S,
00151,BROWNSVILLE ISD,0033,BROWNSVILLE ACADEMIC CENTER,
00151,BROWNSVILLE ISD,0042,CUMMINGS MIDDLE,
00151,BROWNSVILLE ISD,0043,FAULK MIDDLE,
00151,BROWNSVILLE ISD,0044,STELL MIDDLE,
00151,BROWNSVILLE ISD,0045,OLIVEIRA MIDDLE,
00151,BROWNSVILLE ISD,0046,PERKINS MIDDLE,
00151,BROWNSVILLE ISD,0047,FILEMON B VELA MIDDLE,
00151,BROWNSVILLE ISD,0048,RAUL BESTEIRO JR MIDDLE,
00151,BROWNSVILLE ISD,0051,SEN EDDIE A LUCIO JR MIDDLE,
00151,BROWNSVILLE ISD,0053,DR JULIET V GARCIA MIDDLE SCHOOL,
00151,BROWNSVILLE ISD,0054,CHARLES STILLMAN,
00151,BROWNSVILLE ISD,0055,EDWARD MANZANO JR MS,
00151,BROWNSVILLE ISD,0101,CANALES EL,
00151,BROWNSVILLE ISD,0102,CROMACK EL,
00151,BROWNSVILLE ISD,0103,LONGORIA EL,
00151,BROWNSVILLE ISD,0104,R L MARTIN EL,
00151,BROWNSVILLE ISD,0105,EL JARDIN EL,
00151,BROWNSVILLE ISD,0106,GARDEN PARK EL,
00151,BROWNSVILLE ISD,0108,PUTEGNAT EL,
00151,BROWNSVILLE ISD,0109,RESACA EL,
00151,BROWNSVILLE ISD,0110,RUSSELL EL,
00151,BROWNSVILLE ISD,0111,SHARP EL,
00151,BROWNSVILLE ISD,0112,SKINNER EL,
00151,BROWNSVILLE ISD,0113,VICTORIA HEIGHTS EL,
00151,BROWNSVILLE ISD,0115,JOSEPHINE CASTANEDA EL,
00151,BROWNSVILLE ISD,0117,VILLA NUEVA EL,
00151,BROWNSVILLE ISD,0120,DEL CASTILLO EL,
00151,BROWNSVILLE ISD,0121,PEREZ EL,
00151,BROWNSVILLE ISD,0122,PALM GROVE EL,
00151,BROWNSVILLE ISD,0123,EGLY EL,
00151,BROWNSVILLE ISD,0124,GARZA EL,
00151,BROWNSVILLE ISD,0126,VERMILLION ROAD EL,
00151,BROWNSVILLE ISD,0127,LINCOLN PARK SCH,
00151,BROWNSVILLE ISD,0128,BURNS EL,
00151,BROWNSVILLE ISD,0129,MORNINGSIDE EL,
00151,BROWNSVILLE ISD,0130,GONZALEZ EL,
00151,BROWNSVILLE ISD,0131,SOUTHMOST EL,
00151,BROWNSVILLE ISD,0132,MARY & FRANK YTURRIA EL,
00151,BROWNSVILLE ISD,0133,BRUCE AIKEN EL,
00151,BROWNSVILLE ISD,0134,HUBERT R HUDSON EL,
00151,BROWNSVILLE ISD,0135,A X BENAVIDES ELEMENTARY,
00151,BROWNSVILLE ISD,0136,A A CHAMPION,
00151,BROWNSVILLE ISD,0137,DR AMERICO PAREDES,
00151,BROWNSVILLE ISD,0138,DR RUBEN GALLEGOS,
00151,BROWNSVILLE ISD,0139,U S CONGRESSMAN SOLOMON P ORTIZ,
00151,BROWNSVILLE ISD,0140,BRITE ELEMENTARY,
00151,BROWNSVILLE ISD,0141,RAQUEL PENA ELEMENTARY,
00151,BROWNSVILLE ISD,0142,MITTIE A PULLAM ELEMENTARY,
00151,BROWNSVILLE ISD,0143,THOMAS W KELLER ELEMENTARY,
00151,BROWNSVILLE ISD,0144,DANIEL BREEDEN EL,
00151,BROWNSVILLE ISD,1011,Manzano Middle School,
00152,HARLINGEN CONS ISD,0001,HARLINGEN H S,
00152,HARLINGEN CONS ISD,0002,HARLINGEN H S - SOUTH,
00152,HARLINGEN CONS ISD,0003,KEYS ACAD,
00152,HARLINGEN CONS ISD,0005,EARLY COLLEGE HIGH SCHOOL,
00152,HARLINGEN CONS ISD,0007,Dr. A P CANO 9th Grade ACADEMY,
00152,HARLINGEN CONS ISD,0008,HARLINGEN SCHOOL OF HEALTH PROFESSIONS,
00152,HARLINGEN CONS ISD,0041,COAKLEY MIDDLE,
00152,HARLINGEN CONS ISD,0042,MEMORIAL MIDDLE,
00152,HARLINGEN CONS ISD,0043,VERNON MIDDLE,
00152,HARLINGEN CONS ISD,0044,GUTIERREZ MIDDLE,
00152,HARLINGEN CONS ISD,0045,MOISES VELA MIDDLE SCHOOL,
00152,HARLINGEN CONS ISD,0102,AUSTIN EL,
00152,HARLINGEN CONS ISD,0103,BONHAM EL,
00152,HARLINGEN CONS ISD,0104,BOWIE EL,
00152,HARLINGEN CONS ISD,0105,CROCKETT EL,
00152,HARLINGEN CONS ISD,0106,DISHMAN EL,
00152,HARLINGEN CONS ISD,0107,HOUSTON EL,
00152,HARLINGEN CONS ISD,0108,JEFFERSON EL,
00152,HARLINGEN CONS ISD,0109,LAMAR EL,
00152,HARLINGEN CONS ISD,0110,BEN MILAM EL,
00152,HARLINGEN CONS ISD,0111,STUART PLACE EL,
00152,HARLINGEN CONS ISD,0112,TRAVIS EL,
00152,HARLINGEN CONS ISD,0114,ZAVALA EL,
00152,HARLINGEN CONS ISD,0116,WILSON EL,
00152,HARLINGEN CONS ISD,0117,TREASURE HILLS EL,
00152,HARLINGEN CONS ISD,0118,SECONDARY ALTERNATIVE CENTER,
00152,HARLINGEN CONS ISD,0120,LONG EL,
00152,HARLINGEN CONS ISD,0122,DR. HESIQUIO RODRIGUEZ EL,
00152,HARLINGEN CONS ISD,0123,LEE MEANS ELEMENTARY SCHOOL,
00165,ATLANTA ISD,0001,ATLANTA H S,
00165,ATLANTA ISD,0042,ATLANTA MIDDLE,
00165,ATLANTA ISD,0106,ATLANTA EL,
00165,ATLANTA ISD,0107,ATLANTA PRI,
00276,DALLAS ISD,0001,BRYAN ADAMS H S,
00276,DALLAS ISD,0005,MOISES E. MOLINA H S,
00276,DALLAS ISD,0007,THOMAS JEFFERSON H S,
00276,DALLAS ISD,0008,JUSTIN F KIMBALL H S,
00276,DALLAS ISD,0009,LINCOLN H S,
00276,DALLAS ISD,0013,ROOSEVELT H S,
00276,DALLAS ISD,0016,SOUTH OAK CLIFF H S,
00276,DALLAS ISD,0017,H GRADY SPRUCE H S,
00276,DALLAS ISD,0018,SUNSET H S,
00276,DALLAS ISD,0022,WOODROW WILSON H S,
00276,DALLAS ISD,0023,DAVID W CARTER H S,
00276,DALLAS ISD,0024,NORTH DALLAS H S,
00276,DALLAS ISD,0028,EMMETT CONRAD HIGH SCHOOL,
00276,DALLAS ISD,0032,JAMES MADISON H S,
00276,DALLAS ISD,0035,IRMA LERMA RANGEL YOUNG WOMENS LEADERSHIP SCHOOL,
00276,DALLAS ISD,0037,ROSIE SORRELLS EDUCATION AND SOCIAL SERVICES HS,
00276,DALLAS ISD,0043,T W BROWNE MIDDLE,
00276,DALLAS ISD,0044,E H CARY MIDDLE,
00276,DALLAS ISD,0045,E B COMSTOCK MIDDLE,
